area_code,area_name,year,sales_amount,sales_transactions,store_count,sales_per_store,sales_2022,sales_index_2022_100
3110084,경리단길북측,2025,24065627742.0,671947.0,131.25,183357163.74857143,25590011863.0,94.04305035432957
3110085,경리단길남측,2022,20140649808.0,432717.0,118.5,169963289.51898733,20140649808.0,100.0
3110085,경리단길남측,2023,21184364711.0,401926.0,116.75,181450661.33618844,20140649808.0,105.18213122689532
3110085,경리단길남측,2024,22567101230.0,405357.0,116.5,193709023.4334764,20140649808.0,112.04753295018415
3110085,경리단길남측,2025,21411486357.0,388950.0,121.75,175864364.32854208,20140649808.0,106.30980907326642
3110087,이태원엔틱가구거리,2022,2353389717.0,220505.0,13.0,181029978.23076922,2353389717.0,100.0
3110087,이태원엔틱가구거리,2023,2171109144.0,183538.0,12.25,177233399.51020408,2353389717.0,92.25455216009172
3110087,이태원엔틱가구거리,2024,2284194482.0,199276.0,11.0,207654043.8181818,2353389717.0,97.05976300906902
3110087,이태원엔틱가구거리,2025,2221820835.0,178980.0,13.75,161586969.8181818,2353389717.0,94.40938825178014
3110091,리움미술관,2022,8317066110.0,282150.0,21.25,391391346.35294116,8317066110.0,100.0
3110091,리움미술관,2023,7643848529.0,247271.0,21.75,351441311.6781609,8317066110.0,91.90558819545082
3110091,리움미술관,2024,6552204107.0,204463.0,22.25,294481083.46067417,8317066110.0,78.78023356243348
3110091,리움미술관,2025,4835389560.0,143705.0,22.25,217320879.1011236,8317066110.0,58.13816430034364
3110092,NH농협은행 보광동지점,2022,1865777142.0,61781.0,27.75,67235212.32432432,1865777142.0,100.0
3110092,NH농협은행 보광동지점,2023,1832093051.0,68762.0,29.5,62104849.18644068,1865777142.0,98.19463481239283
3110092,NH농협은행 보광동지점,2024,926978460.0,22925.0,15.25,60785472.78688525,1865777142.0,49.683235962808254
3110092,NH농협은행 보광동지점,2025,676001424.0,20087.0,10.75,62883853.39534884,1865777142.0,36.2316274962704
3110093,우사단길,2022,15543060636.0,444240.0,110.25,140980141.82312927,15543060636.0,100.0
3110093,우사단길,2023,12686745981.0,373740.0,103.75,122281888.97349398,15543060636.0,81.62321616127292
3110093,우사단길,2024,12418924017.0,335497.0,89.0,139538472.1011236,15543060636.0,79.90011946704986
3110093,우사단길,2025,11736958791.0,348117.0,74.25,158073519.07070708,15543060636.0,75.51253299376242
3110095,한강진역 3번,2022,12220727805.0,259906.0,102.0,119811056.91176471,12220727805.0,100.0
3110095,한강진역 3번,2023,14104388781.0,274577.0,100.25,140692157.41645885,12220727805.0,115.41365625727558
3110095,한강진역 3번,2024,14253464836.0,303325.0,98.75,144338884.41518986,12220727805.0,116.63351858772539
3110095,한강진역 3번,2025,13202648795.0,270275.0,96.0,137527591.61458334,12220727805.0,108.03488143806179
3110096,한남힐사이드아파트,2022,1325905348.0,64979.0,9.75,135990292.1025641,1325905348.0,100.0
3110096,한남힐사이드아파트,2023,1650263686.0,103246.0,11.0,150023971.45454547,1325905348.0,124.46315934159729
3110096,한남힐사이드아파트,2024,1232254397.0,78124.0,8.0,154031799.625,1325905348.0,92.9368298316872
3110096,한남힐사이드아파트,2025,1197087142.0,77378.0,9.0,133009682.44444445,1325905348.0,90.2845096601873
3110949,한남IC,2022,3465203403.0,121614.0,21.0,165009685.85714287,3465203403.0,100.0
3110949,한남IC,2023,5573747893.0,134283.0,22.0,253352176.95454547,3465203403.0,160.84908286118292
3110949,한남IC,2024,5437119356.0,135671.0,22.5,241649749.15555555,3465203403.0,156.906210795384
3110949,한남IC,2025,5823275201.0,136202.0,24.75,235283846.5050505,3465203403.0,168.05002546051116
3120046,이태원(이태원역),2022,222140501792.0,6883443.0,627.0,354291071.4385965,222140501792.0,100.0
3120046,이태원(이태원역),2023,197498559331.0,6217226.0,660.5,299013715.8682816,222140501792.0,88.90704654837174
3120046,이태원(이태원역),2024,206915447189.0,6528045.0,653.5,316626545.048202,222140501792.0,93.14620500080805
3120046,이태원(이태원역),2025,206267178146.0,6218336.0,687.5,300024986.39418185,222140501792.0,92.85437661392207
3120047,한남오거리,2022,76992669720.0,1794927.0,181.75,423618540.41265476,76992669720.0,100.0
3120047,한남오거리,2023,86328135534.0,1963037.0,195.25,442141539.22663254,76992669720.0,112.12513587066195
3120047,한남오거리,2024,88449775388.0,1810460.0,197.25,448414577.3789607,76992669720.0,114.88077463694424
3120047,한남오거리,2025,94160313437.0,1860153.0,238.0,395631569.06302524,76992669720.0,122.29776390328293
3130061,이태원시장,2022,4428195381.0,279482.0,12.0,369016281.75,4428195381.0,100.0
3130061,이태원시장,2023,3490030347.0,249616.0,10.75,324653985.76744187,4428195381.0,78.81382926269757
3130061,이태원시장,2024,2468632592.0,56546.0,11.25,219434008.17777777,4428195381.0,55.748050381700175
3130061,이태원시장,2025,3421601481.0,65418.0,14.25,240112384.63157895,4428195381.0,77.2685301032791
